time,confirmed,recovered,deaths
2020-03-03 12:00:00-03:00,0,0,0
2020-03-04 12:00:00-03:00,0,0,0
2020-03-05 12:00:00-03:00,0,0,0
2020-03-06 12:00:00-03:00,0,0,0
2020-03-07 12:00:00-03:00,0,0,0
2020-03-08 12:00:00-03:00,0,0,0
2020-03-09 12:00:00-03:00,0,0,0
2020-03-10 12:00:00-03:00,0,0,0
2020-03-11 12:00:00-03:00,0,0,0
2020-03-12 12:00:00-03:00,0,0,0
2020-03-13 12:00:00-03:00,0,0,0
2020-03-14 12:00:00-03:00,0,0,0
2020-03-15 12:00:00-03:00,0,0,0
2020-03-16 12:00:00-03:00,0,0,0
2020-03-17 12:00:00-03:00,2,0,0
2020-03-18 12:00:00-03:00,2,0,0
2020-03-19 12:00:00-03:00,2,0,0
2020-03-20 12:00:00-03:00,2,0,0
2020-03-21 12:00:00-03:00,3,0,0
2020-03-22 12:00:00-03:00,4,0,0
2020-03-23 12:00:00-03:00,6,0,0
2020-03-24 12:00:00-03:00,8,0,0
2020-03-25 12:00:00-03:00,13,0,0
2020-03-26 12:00:00-03:00,19,0,0
2020-03-27 12:00:00-03:00,22,0,0
2020-03-28 12:00:00-03:00,26,0,0
2020-03-29 12:00:00-03:00,39,0,0
2020-03-30 12:00:00-03:00,39,0,0
2020-03-31 12:00:00-03:00,63,0,0
2020-04-01 12:00:00-03:00,99,0,0
2020-04-02 12:00:00-03:00,114,0,0
2020-04-03 12:00:00-03:00,156,0,1
2020-04-04 12:00:00-03:00,172,0,2
2020-04-05 12:00:00-03:00,190,0,2
2020-04-06 12:00:00-03:00,221,0,2
2020-04-07 12:00:00-03:00,240,0,2
2020-04-08 12:00:00-03:00,266,0,3
2020-04-09 12:00:00-03:00,286,0,3
2020-04-10 12:00:00-03:00,331,0,3
2020-04-11 12:00:00-03:00,377,0,3
2020-04-12 12:00:00-03:00,396,0,4
2020-04-13 12:00:00-03:00,415,0,5
2020-04-14 12:00:00-03:00,429,0,6
2020-04-15 12:00:00-03:00,444,0,6
2020-04-16 12:00:00-03:00,467,0,6
2020-04-17 12:00:00-03:00,501,0,6
2020-04-18 12:00:00-03:00,522,0,6
2020-04-19 12:00:00-03:00,553,0,6
2020-04-20 12:00:00-03:00,566,0,6
2020-04-21 12:00:00-03:00,593,0,7
2020-04-22 12:00:00-03:00,605,0,7
2020-04-23 12:00:00-03:00,615,0,7
2020-04-24 12:00:00-03:00,624,0,8
2020-04-25 12:00:00-03:00,655,0,8
2020-04-26 12:00:00-03:00,668,0,9
2020-04-27 12:00:00-03:00,671,0,10
2020-04-28 12:00:00-03:00,693,0,10
2020-04-29 12:00:00-03:00,714,0,11
2020-04-30 12:00:00-03:00,725,0,11
2020-05-01 12:00:00-03:00,726,0,11
2020-05-02 12:00:00-03:00,752,0,11
2020-05-03 12:00:00-03:00,777,0,11
2020-05-04 12:00:00-03:00,795,0,11
2020-05-05 12:00:00-03:00,809,0,11
2020-05-06 12:00:00-03:00,818,0,11
2020-05-07 12:00:00-03:00,836,0,11
2020-05-08 12:00:00-03:00,867,0,11
2020-05-09 12:00:00-03:00,881,0,11
2020-05-10 12:00:00-03:00,893,0,13
2020-05-11 12:00:00-03:00,901,0,14
2020-05-12 12:00:00-03:00,910,0,14
2020-05-13 12:00:00-03:00,921,0,16
2020-05-14 12:00:00-03:00,935,0,16
2020-05-15 12:00:00-03:00,937,0,16
2020-05-16 12:00:00-03:00,952,0,16
2020-05-17 12:00:00-03:00,961,0,16
2020-05-18 12:00:00-03:00,971,0,16
2020-05-19 12:00:00-03:00,972,0,17
2020-05-20 12:00:00-03:00,977,0,18
2020-05-21 12:00:00-03:00,987,0,18
2020-05-22 12:00:00-03:00,992,0,18
2020-05-23 12:00:00-03:00,997,0,18
2020-05-24 12:00:00-03:00,1010,0,18
2020-05-25 12:00:00-03:00,1016,0,18
2020-05-26 12:00:00-03:00,1031,0,18
2020-05-27 12:00:00-03:00,1037,0,18
2020-05-28 12:00:00-03:00,1040,0,18
2020-05-29 12:00:00-03:00,1047,0,19
2020-05-30 12:00:00-03:00,1054,0,19
2020-05-31 12:00:00-03:00,1056,0,19
2020-06-01 12:00:00-03:00,1056,0,19
2020-06-02 12:00:00-03:00,1060,0,19
2020-06-03 12:00:00-03:00,1063,0,19
2020-06-04 12:00:00-03:00,1069,0,19
2020-06-05 12:00:00-03:00,1072,0,19
2020-06-06 12:00:00-03:00,1081,0,19
2020-06-07 12:00:00-03:00,1082,0,14
2020-06-08 12:00:00-03:00,1088,0,15
2020-06-09 12:00:00-03:00,1088,0,15
2020-06-10 12:00:00-03:00,1089,0,15
2020-06-11 12:00:00-03:00,1102,0,15
2020-06-12 12:00:00-03:00,1107,0,15
2020-06-13 12:00:00-03:00,1123,0,15
2020-06-14 12:00:00-03:00,1153,0,15
2020-06-15 12:00:00-03:00,1185,0,15
2020-06-16 12:00:00-03:00,1210,0,15
2020-06-17 12:00:00-03:00,1284,0,15
2020-06-18 12:00:00-03:00,1293,0,15
2020-06-19 12:00:00-03:00,1302,0,15
2020-06-20 12:00:00-03:00,1315,0,15
2020-06-21 12:00:00-03:00,1335,0,15
2020-06-22 12:00:00-03:00,1352,0,15
2020-06-23 12:00:00-03:00,1363,0,15
2020-06-24 12:00:00-03:00,1363,0,15
2020-06-25 12:00:00-03:00,1385,0,15
2020-06-26 12:00:00-03:00,1397,0,15
2020-06-27 12:00:00-03:00,1423,0,15
2020-06-28 12:00:00-03:00,1435,0,15
2020-06-29 12:00:00-03:00,1440,1290,15
2020-06-30 12:00:00-03:00,1452,1294,15
2020-07-01 12:00:00-03:00,1461,1307,15
2020-07-02 12:00:00-03:00,1465,1326,15
2020-07-03 12:00:00-03:00,1476,1340,15
2020-07-04 12:00:00-03:00,1479,1355,15
2020-07-05 12:00:00-03:00,1486,1371,15
2020-07-06 12:00:00-03:00,1501,1376,15
2020-07-07 12:00:00-03:00,1504,1396,15
2020-07-08 12:00:00-03:00,1507,1416,17
2020-07-09 12:00:00-03:00,1520,1426,17
2020-07-10 12:00:00-03:00,1533,1434,17
2020-07-11 12:00:00-03:00,1545,1430,17
2020-07-12 12:00:00-03:00,1555,1448,17
2020-07-13 12:00:00-03:00,1563,1451,17
2020-07-14 12:00:00-03:00,1578,1458,17
2020-07-15 12:00:00-03:00,1587,1467,18
2020-07-16 12:00:00-03:00,1589,1468,18
2020-07-17 12:00:00-03:00,1592,1466,28
2020-07-18 12:00:00-03:00,1600,1483,28
2020-07-19 12:00:00-03:00,1606,1490,28
2020-07-20 12:00:00-03:00,1609,1494,28
2020-07-21 12:00:00-03:00,1612,1503,28
2020-07-22 12:00:00-03:00,1620,1520,28
2020-07-23 12:00:00-03:00,1627,1529,28
2020-07-24 12:00:00-03:00,1631,1539,28
2020-07-25 12:00:00-03:00,1634,1544,28
2020-07-26 12:00:00-03:00,1643,1555,28
2020-07-27 12:00:00-03:00,1657,1564,28
2020-07-28 12:00:00-03:00,1683,1568,28
2020-07-29 12:00:00-03:00,1687,1570,28
2020-07-30 12:00:00-03:00,1743,1599,28
2020-07-31 12:00:00-03:00,1762,1608,28
2020-08-01 12:00:00-03:00,1782,1617,28
2020-08-02 12:00:00-03:00,1806,1623,28
2020-08-03 12:00:00-03:00,1829,1628,29
2020-08-04 12:00:00-03:00,1865,1650,29
2020-08-05 12:00:00-03:00,1891,1664,29
2020-08-06 12:00:00-03:00,1934,1673,29
2020-08-07 12:00:00-03:00,1942,1685,30
2020-08-08 12:00:00-03:00,1992,1703,30
2020-08-09 12:00:00-03:00,2018,1734,30
2020-08-10 12:00:00-03:00,2073,1752,30
2020-08-11 12:00:00-03:00,2109,1771,30
2020-08-12 12:00:00-03:00,2128,1788,30
2020-08-13 12:00:00-03:00,2146,1815,30
2020-08-14 12:00:00-03:00,2196,1840,30
2020-08-15 12:00:00-03:00,2250,1865,30
2020-08-16 12:00:00-03:00,2317,1895,30
2020-08-17 12:00:00-03:00,2339,1927,30
2020-08-18 12:00:00-03:00,2407,1982,30
2020-08-19 12:00:00-03:00,2387,1949,30
2020-08-20 12:00:00-03:00,2451,1972,32
2020-08-21 12:00:00-03:00,2541,2010,32
2020-08-22 12:00:00-03:00,2612,2051,32
2020-08-23 12:00:00-03:00,2727,2085,32
2020-08-24 12:00:00-03:00,2847,2117,34
2020-08-25 12:00:00-03:00,2943,2181,34
2020-08-26 12:00:00-03:00,3004,2237,34
