time,confirmed,recovered,deaths
2020-03-01 11:00:00-03:00,0,0,0
2020-03-02 11:00:00-03:00,0,0,0
2020-03-03 11:00:00-03:00,0,0,0
2020-03-04 11:00:00-03:00,0,0,0
2020-03-05 11:00:00-03:00,0,0,0
2020-03-06 11:00:00-03:00,0,0,0
2020-03-07 11:00:00-03:00,0,0,0
2020-03-08 11:00:00-03:00,0,0,0
2020-03-09 11:00:00-03:00,0,0,0
2020-03-10 11:00:00-03:00,0,0,0
2020-03-11 11:00:00-03:00,0,0,0
2020-03-12 11:00:00-03:00,0,0,0
2020-03-13 11:00:00-03:00,0,0,0
2020-03-14 11:00:00-03:00,0,0,0
2020-03-15 11:00:00-03:00,0,0,0
2020-03-16 11:00:00-03:00,0,0,0
2020-03-17 11:00:00-03:00,0,0,0
2020-03-18 11:00:00-03:00,0,0,0
2020-03-19 11:00:00-03:00,2,0,0
2020-03-20 11:00:00-03:00,3,0,0
2020-03-21 11:00:00-03:00,3,0,0
2020-03-22 11:00:00-03:00,5,0,0
2020-03-23 11:00:00-03:00,6,0,0
2020-03-24 11:00:00-03:00,11,0,0
2020-03-25 11:00:00-03:00,12,0,0
2020-03-26 11:00:00-03:00,13,0,0
2020-03-27 11:00:00-03:00,14,0,0
2020-03-28 11:00:00-03:00,15,0,0
2020-03-29 11:00:00-03:00,18,0,0
2020-03-30 11:00:00-03:00,27,0,0
2020-03-31 11:00:00-03:00,28,0,0
2020-04-01 11:00:00-03:00,30,0,0
2020-04-02 11:00:00-03:00,34,0,0
2020-04-03 11:00:00-03:00,35,0,0
2020-04-04 11:00:00-03:00,44,0,0
2020-04-05 11:00:00-03:00,50,0,0
2020-04-06 11:00:00-03:00,51,0,0
2020-04-07 11:00:00-03:00,52,0,0
2020-04-08 10:50:02-03:00,56,0,0
2020-04-09 10:30:03-03:00,61,0,0
2020-04-10 12:45:03-03:00,61,0,0
2020-04-11 12:05:27-03:00,64,0,0
2020-04-12 12:25:02-03:00,66,0,0
2020-04-13 11:05:03-03:00,66,0,0
2020-04-14 11:10:03-03:00,66,0,0
2020-04-15 11:20:03-03:00,66,0,0
2020-04-16 11:15:03-03:00,68,0,0
2020-04-17 11:10:02-03:00,68,0,0
2020-04-18 11:40:03-03:00,68,0,0
2020-04-19 12:15:02-03:00,68,0,0
2020-04-20 11:25:03-03:00,69,0,0
2020-04-21 11:50:03-03:00,69,0,0
2020-04-22 11:55:02-03:00,70,0,0
2020-04-23 11:50:02-03:00,70,0,0
2020-04-24 11:40:07-03:00,72,0,0
2020-04-25 11:40:03-03:00,73,0,0
2020-04-26 12:10:02-03:00,73,0,0
2020-04-27 11:15:03-03:00,74,0,0
2020-04-28 11:40:02-03:00,74,0,0
2020-04-29 12:00:00-03:00,76,0,0
2020-04-30 13:40:02-03:00,76,0,0
2020-05-01 11:40:03-03:00,77,0,0
2020-05-02 12:30:03-03:00,78,0,0
2020-05-03 13:25:03-03:00,88,0,0
2020-05-04 11:30:03-03:00,91,0,0
2020-05-05 11:30:02-03:00,97,0,0
2020-05-06 12:40:02-03:00,97,0,0
2020-05-07 11:20:03-03:00,100,0,0
2020-05-08 11:45:03-03:00,111,0,0
2020-05-09 13:40:03-03:00,129,0,0
2020-05-10 12:45:02-03:00,135,0,1
2020-05-11 11:25:02-03:00,140,0,1
2020-05-12 11:25:03-03:00,148,0,1
2020-05-13 15:20:05-03:00,153,0,1
2020-05-14 11:40:02-03:00,165,0,1
2020-05-15 11:15:02-03:00,180,0,1
2020-05-16 11:50:03-03:00,187,0,2
2020-05-17 12:45:02-03:00,194,0,2
2020-05-18 11:55:02-03:00,212,0,2
2020-05-19 11:55:03-03:00,239,0,2
2020-05-20 13:00:03-03:00,263,0,2
2020-05-21 15:10:03-03:00,268,0,2
2020-05-22 11:50:03-03:00,281,0,2
2020-05-23 11:30:02-03:00,294,0,2
2020-05-24 14:00:03-03:00,323,0,2
2020-05-25 11:20:02-03:00,338,0,2
2020-05-26 12:05:03-03:00,384,0,2
2020-05-27 12:00:02-03:00,455,0,2
2020-05-28 11:45:03-03:00,482,0,2
2020-05-29 12:25:02-03:00,537,0,2
2020-05-30 12:10:02-03:00,597,0,2
2020-05-31 16:30:03-03:00,628,0,2
2020-06-01 12:00:03-03:00,668,0,2
2020-06-02 12:00:03-03:00,687,0,2
2020-06-03 14:00:03-03:00,718,0,4
2020-06-04 17:00:43-03:00,772,0,4
2020-06-05 12:25:02-03:00,832,0,5
2020-06-06 11:30:04-03:00,898,0,5
2020-06-07 14:45:03-03:00,990,0,5
2020-06-08 16:25:02-03:00,1123,0,5
2020-06-09 15:08:17-03:00,1175,0,5
2020-06-10 13:20:02-03:00,1256,0,6
2020-06-11 13:10:02-03:00,1345,0,7
2020-06-12 13:20:03-03:00,1438,0,7
2020-06-13 11:10:02-03:00,1512,0,8
2020-06-14 18:40:03-03:00,1556,0,10
2020-06-15 12:15:03-03:00,1676,0,10
2020-06-16 11:35:03-03:00,1720,0,10
2020-06-17 13:25:03-03:00,1980,0,12
2020-06-18 14:15:03-03:00,2076,0,1
2020-06-19 09:00:43-03:00,2076,0,1
