time,confirmed,recovered,deaths
2020-03-03 12:00:00-03:00,0,0,0
2020-03-04 12:00:00-03:00,0,0,0
2020-03-05 12:00:00-03:00,0,0,0
2020-03-06 12:00:00-03:00,0,0,0
2020-03-07 12:00:00-03:00,0,0,0
2020-03-08 12:00:00-03:00,0,0,0
2020-03-09 12:00:00-03:00,0,0,0
2020-03-10 12:00:00-03:00,0,0,0
2020-03-11 12:00:00-03:00,0,0,0
2020-03-12 12:00:00-03:00,1,0,0
2020-03-13 12:00:00-03:00,2,0,0
2020-03-14 12:00:00-03:00,4,0,0
2020-03-15 12:00:00-03:00,4,0,0
2020-03-16 12:00:00-03:00,12,0,0
2020-03-17 12:00:00-03:00,26,0,0
2020-03-18 12:00:00-03:00,26,0,0
2020-03-19 12:00:00-03:00,28,0,0
2020-03-20 12:00:00-03:00,44,0,0
2020-03-21 12:00:00-03:00,58,0,0
2020-03-22 12:00:00-03:00,64,0,0
2020-03-23 12:00:00-03:00,81,0,0
2020-03-24 12:00:00-03:00,105,0,0
2020-03-25 12:00:00-03:00,111,0,0
2020-03-26 12:00:00-03:00,114,0,0
2020-03-27 12:00:00-03:00,144,0,0
2020-03-28 12:00:00-03:00,172,0,0
2020-03-29 12:00:00-03:00,197,0,0
2020-03-30 12:00:00-03:00,229,0,0
2020-03-31 12:00:00-03:00,245,0,0
2020-04-01 12:00:00-03:00,259,0,0
2020-04-02 12:00:00-03:00,341,0,0
2020-04-03 12:00:00-03:00,370,0,1
2020-04-04 12:00:00-03:00,401,0,2
2020-04-05 12:00:00-03:00,425,0,3
2020-04-06 12:00:00-03:00,474,0,4
2020-04-07 12:00:00-03:00,522,0,5
2020-04-08 12:00:00-03:00,561,0,5
2020-04-09 12:00:00-03:00,571,0,6
2020-04-10 12:00:00-03:00,589,0,6
2020-04-11 12:00:00-03:00,606,0,6
2020-04-12 12:00:00-03:00,613,0,7
2020-04-13 12:00:00-03:00,618,0,7
2020-04-14 12:00:00-03:00,622,0,8
2020-04-15 12:00:00-03:00,634,0,8
2020-04-16 12:00:00-03:00,639,0,10
2020-04-17 12:00:00-03:00,656,0,11
2020-04-18 12:00:00-03:00,667,0,12
2020-04-19 12:00:00-03:00,678,0,13
2020-04-20 12:00:00-03:00,687,0,13
2020-04-21 12:00:00-03:00,694,0,13
2020-04-22 12:00:00-03:00,703,0,13
2020-04-23 12:00:00-03:00,708,0,13
2020-04-24 12:00:00-03:00,715,0,14
2020-04-25 12:00:00-03:00,725,0,14
2020-04-26 12:00:00-03:00,731,0,14
2020-04-27 12:00:00-03:00,741,0,14
2020-04-28 12:00:00-03:00,747,0,14
2020-04-29 12:00:00-03:00,761,0,14
2020-04-30 12:00:00-03:00,768,0,14
2020-05-01 12:00:00-03:00,768,0,14
2020-05-02 12:00:00-03:00,776,0,16
2020-05-03 12:00:00-03:00,786,0,16
2020-05-04 12:00:00-03:00,787,0,17
2020-05-05 12:00:00-03:00,789,0,17
2020-05-06 12:00:00-03:00,791,0,17
2020-05-07 12:00:00-03:00,793,0,17
2020-05-08 12:00:00-03:00,794,0,18
2020-05-09 12:00:00-03:00,801,0,18
2020-05-10 12:00:00-03:00,812,0,18
2020-05-11 12:00:00-03:00,814,0,18
2020-05-12 12:00:00-03:00,826,0,19
2020-05-13 12:00:00-03:00,839,0,19
2020-05-14 12:00:00-03:00,849,0,20
2020-05-15 12:00:00-03:00,885,0,20
2020-05-16 12:00:00-03:00,921,0,20
2020-05-17 12:00:00-03:00,942,0,20
2020-05-18 12:00:00-03:00,985,0,21
2020-05-19 12:00:00-03:00,988,0,21
2020-05-20 12:00:00-03:00,1011,0,21
2020-05-21 12:00:00-03:00,1020,0,21
2020-05-22 12:00:00-03:00,1025,0,21
2020-05-23 12:00:00-03:00,1077,0,21
2020-05-24 12:00:00-03:00,1102,0,21
2020-05-25 12:00:00-03:00,1139,0,22
2020-05-26 12:00:00-03:00,1147,0,22
2020-05-27 12:00:00-03:00,1174,0,22
2020-05-28 12:00:00-03:00,1205,0,22
2020-05-29 12:00:00-03:00,1242,0,22
2020-05-30 12:00:00-03:00,1256,0,23
2020-05-31 12:00:00-03:00,1257,0,23
2020-06-01 12:00:00-03:00,1290,0,23
2020-06-02 12:00:00-03:00,1290,0,23
2020-06-03 12:00:00-03:00,1329,0,24
2020-06-04 12:00:00-03:00,1372,0,24
2020-06-05 12:00:00-03:00,1429,0,24
2020-06-06 12:00:00-03:00,1470,0,24
2020-06-07 12:00:00-03:00,1490,0,18
2020-06-08 12:00:00-03:00,1552,0,18
2020-06-09 12:00:00-03:00,1584,0,18
2020-06-10 12:00:00-03:00,1616,0,20
2020-06-11 12:00:00-03:00,1673,0,20
2020-06-12 12:00:00-03:00,1718,0,20
2020-06-13 12:00:00-03:00,1737,0,22
2020-06-14 12:00:00-03:00,1778,0,22
2020-06-15 12:00:00-03:00,1832,0,22
2020-06-16 12:00:00-03:00,1852,0,22
2020-06-17 12:00:00-03:00,1929,0,24
2020-06-18 12:00:00-03:00,1974,0,24
2020-06-19 12:00:00-03:00,2103,0,25
2020-06-20 12:00:00-03:00,2135,0,27
2020-06-21 12:00:00-03:00,2159,0,28
2020-06-22 12:00:00-03:00,2181,0,28
2020-06-23 12:00:00-03:00,2195,0,28
2020-06-24 12:00:00-03:00,2219,0,29
2020-06-25 12:00:00-03:00,2233,0,30
2020-06-26 12:00:00-03:00,2274,0,31
2020-06-27 12:00:00-03:00,2317,0,31
2020-06-28 12:00:00-03:00,2363,0,32
2020-06-29 12:00:00-03:00,2384,1970,32
2020-06-30 12:00:00-03:00,2397,2021,32
2020-07-01 12:00:00-03:00,2414,2078,32
2020-07-02 12:00:00-03:00,2447,2136,33
2020-07-03 12:00:00-03:00,2490,2165,33
2020-07-04 12:00:00-03:00,2533,2200,33
2020-07-05 12:00:00-03:00,2577,2232,33
2020-07-06 12:00:00-03:00,2617,2246,33
2020-07-07 12:00:00-03:00,2640,2276,33
2020-07-08 12:00:00-03:00,2700,2300,35
2020-07-09 12:00:00-03:00,2782,2335,36
2020-07-10 12:00:00-03:00,2838,2376,37
2020-07-11 12:00:00-03:00,2909,2395,38
2020-07-12 12:00:00-03:00,2965,2437,40
2020-07-13 12:00:00-03:00,2989,2465,40
2020-07-14 12:00:00-03:00,3013,2503,40
2020-07-15 12:00:00-03:00,3032,2536,40
2020-07-16 12:00:00-03:00,3080,2575,40
2020-07-17 12:00:00-03:00,3095,2619,52
2020-07-18 12:00:00-03:00,3193,2661,53
2020-07-19 12:00:00-03:00,3222,2701,53
2020-07-20 12:00:00-03:00,3250,2735,54
2020-07-21 12:00:00-03:00,3273,2805,54
2020-07-22 12:00:00-03:00,3286,2851,54
2020-07-23 12:00:00-03:00,3323,2913,56
2020-07-24 12:00:00-03:00,3349,2953,59
2020-07-25 12:00:00-03:00,3370,3003,60
2020-07-26 12:00:00-03:00,3377,3037,60
2020-07-27 12:00:00-03:00,3436,3066,60
2020-07-28 12:00:00-03:00,3449,3095,60
2020-07-29 12:00:00-03:00,3479,3147,60
2020-07-30 12:00:00-03:00,3504,3180,61
2020-07-31 12:00:00-03:00,3529,3214,62
2020-08-01 12:00:00-03:00,3556,3245,62
2020-08-02 12:00:00-03:00,3583,3264,62
2020-08-03 12:00:00-03:00,3603,3284,63
2020-08-04 12:00:00-03:00,3616,3324,63
2020-08-05 12:00:00-03:00,3644,3358,63
2020-08-06 12:00:00-03:00,3656,3375,65
2020-08-07 12:00:00-03:00,3703,3391,68
2020-08-08 12:00:00-03:00,3752,3430,69
2020-08-09 12:00:00-03:00,3784,3457,69
2020-08-10 12:00:00-03:00,3823,3473,69
2020-08-11 12:00:00-03:00,3843,3502,69
2020-08-12 12:00:00-03:00,3879,3535,69
2020-08-13 12:00:00-03:00,3910,3562,70
2020-08-14 12:00:00-03:00,3942,3580,71
2020-08-15 12:00:00-03:00,3950,3600,73
2020-08-16 12:00:00-03:00,3960,3614,73
2020-08-17 12:00:00-03:00,3997,3646,73
2020-08-18 12:00:00-03:00,4027,3683,73
2020-08-19 12:00:00-03:00,4056,3710,73
2020-08-20 12:00:00-03:00,4100,3738,74
2020-08-21 12:00:00-03:00,4140,3782,75
2020-08-22 12:00:00-03:00,4206,3809,75
2020-08-23 12:00:00-03:00,4245,3829,75
2020-08-24 12:00:00-03:00,4305,3846,75
2020-08-25 12:00:00-03:00,4344,3899,75
2020-08-26 12:00:00-03:00,4414,3932,75
