time,confirmed,recovered,deaths
2020-03-03 12:00:00-03:00,1,0,0
2020-03-04 12:00:00-03:00,2,0,0
2020-03-05 12:00:00-03:00,2,0,0
2020-03-06 12:00:00-03:00,2,0,0
2020-03-07 12:00:00-03:00,2,0,0
2020-03-08 12:00:00-03:00,3,0,0
2020-03-09 12:00:00-03:00,4,0,0
2020-03-10 12:00:00-03:00,5,0,0
2020-03-11 12:00:00-03:00,7,0,0
2020-03-12 12:00:00-03:00,7,0,0
2020-03-13 12:00:00-03:00,8,0,0
2020-03-14 12:00:00-03:00,9,0,0
2020-03-15 12:00:00-03:00,9,0,0
2020-03-16 12:00:00-03:00,9,0,0
2020-03-17 12:00:00-03:00,9,0,0
2020-03-18 12:00:00-03:00,11,0,0
2020-03-19 12:00:00-03:00,14,0,0
2020-03-20 12:00:00-03:00,14,0,0
2020-03-21 12:00:00-03:00,15,0,0
2020-03-22 12:00:00-03:00,25,0,0
2020-03-23 12:00:00-03:00,28,0,0
2020-03-24 12:00:00-03:00,29,0,0
2020-03-25 12:00:00-03:00,30,0,0
2020-03-26 12:00:00-03:00,31,0,0
2020-03-27 12:00:00-03:00,32,0,0
2020-03-28 12:00:00-03:00,37,0,0
2020-03-29 12:00:00-03:00,42,0,0
2020-03-30 12:00:00-03:00,54,0,1
2020-03-31 12:00:00-03:00,62,0,1
2020-04-01 12:00:00-03:00,71,0,1
2020-04-02 12:00:00-03:00,82,0,1
2020-04-03 12:00:00-03:00,89,0,1
2020-04-04 12:00:00-03:00,97,0,1
2020-04-05 12:00:00-03:00,103,0,1
2020-04-06 12:00:00-03:00,108,0,1
2020-04-07 12:00:00-03:00,108,0,2
2020-04-08 12:00:00-03:00,119,0,2
2020-04-09 12:00:00-03:00,128,0,2
2020-04-10 12:00:00-03:00,131,0,2
2020-04-11 12:00:00-03:00,134,0,3
2020-04-12 12:00:00-03:00,138,0,3
2020-04-13 12:00:00-03:00,141,0,3
2020-04-14 12:00:00-03:00,142,0,4
2020-04-15 12:00:00-03:00,152,0,4
2020-04-16 12:00:00-03:00,167,0,4
2020-04-17 12:00:00-03:00,223,0,7
2020-04-18 12:00:00-03:00,276,0,8
2020-04-19 12:00:00-03:00,302,0,8
2020-04-20 12:00:00-03:00,304,0,10
2020-04-21 12:00:00-03:00,316,0,10
2020-04-22 12:00:00-03:00,328,0,10
2020-04-23 12:00:00-03:00,333,0,10
2020-04-24 12:00:00-03:00,349,0,10
2020-04-25 12:00:00-03:00,350,0,10
2020-04-26 12:00:00-03:00,354,0,11
2020-04-27 12:00:00-03:00,363,0,12
2020-04-28 12:00:00-03:00,384,0,12
2020-04-29 12:00:00-03:00,392,0,13
2020-04-30 12:00:00-03:00,393,0,13
2020-05-01 12:00:00-03:00,394,0,13
2020-05-02 12:00:00-03:00,396,0,13
2020-05-03 12:00:00-03:00,397,0,13
2020-05-04 12:00:00-03:00,399,0,13
2020-05-05 12:00:00-03:00,408,0,13
2020-05-06 12:00:00-03:00,408,0,13
2020-05-07 12:00:00-03:00,414,0,13
2020-05-08 12:00:00-03:00,425,0,13
2020-05-09 12:00:00-03:00,432,0,14
2020-05-10 12:00:00-03:00,441,0,14
2020-05-11 12:00:00-03:00,454,0,14
2020-05-12 12:00:00-03:00,466,0,14
2020-05-13 12:00:00-03:00,485,0,14
2020-05-14 12:00:00-03:00,519,0,14
2020-05-15 12:00:00-03:00,540,0,14
2020-05-16 12:00:00-03:00,551,0,14
2020-05-17 12:00:00-03:00,573,0,14
2020-05-18 12:00:00-03:00,602,0,14
2020-05-19 12:00:00-03:00,640,0,14
2020-05-20 12:00:00-03:00,680,0,14
2020-05-21 12:00:00-03:00,731,0,15
2020-05-22 12:00:00-03:00,782,0,15
2020-05-23 12:00:00-03:00,823,0,15
2020-05-24 12:00:00-03:00,892,0,15
2020-05-25 12:00:00-03:00,953,0,15
2020-05-26 12:00:00-03:00,1013,0,15
2020-05-27 12:00:00-03:00,1066,0,15
2020-05-28 12:00:00-03:00,1120,0,15
2020-05-29 12:00:00-03:00,1180,0,15
2020-05-30 12:00:00-03:00,1256,0,15
2020-05-31 12:00:00-03:00,1297,0,15
2020-06-01 12:00:00-03:00,1341,0,17
2020-06-02 12:00:00-03:00,1381,0,17
2020-06-03 12:00:00-03:00,1595,0,19
2020-06-04 12:00:00-03:00,1732,0,21
2020-06-05 12:00:00-03:00,1834,0,24
2020-06-06 12:00:00-03:00,1969,0,24
2020-06-07 12:00:00-03:00,2109,0,18
2020-06-08 12:00:00-03:00,2176,0,18
2020-06-09 12:00:00-03:00,2289,0,18
2020-06-10 12:00:00-03:00,2440,0,18
2020-06-11 12:00:00-03:00,2560,0,19
2020-06-12 12:00:00-03:00,2691,0,19
2020-06-13 12:00:00-03:00,2844,0,20
2020-06-14 12:00:00-03:00,2997,0,23
2020-06-15 12:00:00-03:00,3091,0,23
2020-06-16 12:00:00-03:00,3189,0,23
2020-06-17 12:00:00-03:00,3386,0,24
2020-06-18 12:00:00-03:00,3592,0,25
2020-06-19 12:00:00-03:00,3807,0,27
2020-06-20 12:00:00-03:00,3958,0,32
2020-06-21 12:00:00-03:00,4210,0,33
2020-06-22 12:00:00-03:00,4355,0,33
2020-06-23 12:00:00-03:00,4504,0,33
2020-06-24 12:00:00-03:00,4657,0,36
2020-06-25 12:00:00-03:00,4832,0,36
2020-06-26 12:00:00-03:00,5013,0,39
2020-06-27 12:00:00-03:00,5182,0,41
2020-06-28 12:00:00-03:00,5322,0,48
2020-06-29 12:00:00-03:00,5463,4005,48
2020-06-30 12:00:00-03:00,5549,4182,48
2020-07-01 12:00:00-03:00,5717,4362,48
2020-07-02 12:00:00-03:00,5820,4504,53
2020-07-03 12:00:00-03:00,5974,4658,59
2020-07-04 12:00:00-03:00,6144,4817,65
2020-07-05 12:00:00-03:00,6265,4966,70
2020-07-06 12:00:00-03:00,6378,5077,73
2020-07-07 12:00:00-03:00,6495,5226,73
2020-07-08 12:00:00-03:00,6581,5363,78
2020-07-09 12:00:00-03:00,6700,5496,81
2020-07-10 12:00:00-03:00,6833,5615,86
2020-07-11 12:00:00-03:00,6946,5724,91
