time,confirmed,recovered,deaths
2020-03-01 11:00:00-03:00,0,0,0
2020-03-02 11:00:00-03:00,0,0,0
2020-03-03 11:00:00-03:00,0,0,0
2020-03-04 11:00:00-03:00,0,0,0
2020-03-05 11:00:00-03:00,0,0,0
2020-03-06 11:00:00-03:00,0,0,0
2020-03-07 11:00:00-03:00,0,0,0
2020-03-08 11:00:00-03:00,0,0,0
2020-03-09 11:00:00-03:00,0,0,0
2020-03-10 11:00:00-03:00,0,0,0
2020-03-11 11:00:00-03:00,0,0,0
2020-03-12 11:00:00-03:00,0,0,0
2020-03-13 11:00:00-03:00,0,0,0
2020-03-14 11:00:00-03:00,1,0,0
2020-03-15 11:00:00-03:00,1,0,0
2020-03-16 11:00:00-03:00,1,0,0
2020-03-17 11:00:00-03:00,1,0,0
2020-03-18 11:00:00-03:00,1,0,0
2020-03-19 11:00:00-03:00,1,0,0
2020-03-20 11:00:00-03:00,1,0,0
2020-03-21 11:00:00-03:00,1,0,0
2020-03-22 11:00:00-03:00,1,0,0
2020-03-23 11:00:00-03:00,1,0,0
2020-03-24 11:00:00-03:00,1,0,0
2020-03-25 11:00:00-03:00,1,0,0
2020-03-26 11:00:00-03:00,1,0,0
2020-03-27 11:00:00-03:00,1,0,0
2020-03-28 11:00:00-03:00,1,0,0
2020-03-29 11:00:00-03:00,2,0,0
2020-03-30 11:00:00-03:00,2,0,0
2020-03-31 11:00:00-03:00,2,0,0
2020-04-01 11:00:00-03:00,3,0,0
2020-04-02 11:00:00-03:00,3,0,0
2020-04-03 11:00:00-03:00,5,0,0
2020-04-04 11:00:00-03:00,5,0,0
2020-04-05 11:00:00-03:00,5,0,0
2020-04-06 11:00:00-03:00,5,0,0
2020-04-07 11:00:00-03:00,6,0,0
2020-04-08 10:50:02-03:00,8,0,0
2020-04-09 10:30:03-03:00,10,0,0
2020-04-10 12:45:03-03:00,13,0,0
2020-04-11 12:05:27-03:00,13,0,0
2020-04-12 12:25:02-03:00,13,0,0
2020-04-13 11:05:03-03:00,13,0,0
2020-04-14 11:10:03-03:00,13,0,0
2020-04-15 11:20:03-03:00,13,0,0
2020-04-16 11:15:03-03:00,13,0,0
2020-04-17 11:10:02-03:00,13,0,0
2020-04-18 11:40:03-03:00,13,0,0
2020-04-19 12:15:02-03:00,13,0,0
2020-04-20 11:25:03-03:00,13,0,0
2020-04-21 11:50:03-03:00,13,0,0
2020-04-22 11:55:02-03:00,13,0,0
2020-04-23 11:50:02-03:00,18,0,0
2020-04-24 11:40:07-03:00,21,0,0
2020-04-25 11:40:03-03:00,24,0,0
2020-04-26 12:10:02-03:00,29,0,0
2020-04-27 11:15:03-03:00,35,0,0
2020-04-28 11:40:02-03:00,35,0,0
2020-04-29 12:00:00-03:00,42,0,0
2020-04-30 13:40:02-03:00,43,0,0
2020-05-01 11:40:03-03:00,43,0,0
2020-05-02 12:30:03-03:00,59,0,0
2020-05-03 13:25:03-03:00,67,0,0
2020-05-04 11:30:03-03:00,70,0,0
2020-05-05 11:30:02-03:00,78,0,0
2020-05-06 12:40:02-03:00,80,0,0
2020-05-07 11:20:03-03:00,87,0,0
2020-05-08 11:45:03-03:00,88,0,0
2020-05-09 13:40:03-03:00,117,0,0
2020-05-10 12:45:02-03:00,124,0,0
2020-05-11 11:25:02-03:00,133,0,0
2020-05-12 11:25:03-03:00,134,0,0
2020-05-13 15:20:05-03:00,139,0,0
2020-05-14 11:40:02-03:00,140,0,0
2020-05-15 11:15:02-03:00,143,0,0
2020-05-16 11:50:03-03:00,146,0,0
